uninformative,SDB,overest. others,underest. own,academic integrity,info asymmetry,AI discussion priming ,privacy concerns,self-steem,self-report bias,network effect,truthful,original_message
F,TRUE ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE ,FALSE,FALSE,FALSE,Well i feel a lot of people may not want to tell people how much they depend on LLMs because it might seem as though they don't task their brain to think
F,TRUE ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,People don't want to admit they use LLMs because it is typically frowned upon to use them
F,TRUE ,TRUE ,TRUE ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE ,FALSE,The gap likely stems from social desirability bias. Students underreport their own LLM use due to stigma while overestimating peers' usage. The availability heuristic also plays a role; hearing about classmates using LLMs makes it seem widespread. Different interpretations of “use” further contribute to the discrepancy.
F,TRUE ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,They are afraid of what people may think or they may feel like someone would view them as cheating.
F,TRUE ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Because maybe they don’t think it’s ethical in someway
F,TRUE ,FALSE,TRUE ,TRUE ,FALSE,FALSE,FALSE,TRUE ,FALSE,FALSE,FALSE,Students might underreport their own use of LLMs because they don't want to seem lazy or dishonest.
F,TRUE ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,I'd assume that's because they don't want to appear as though they are trying to cheat or get ahead somehow by using AI while attending college as well as not wanting to look less credible or knowledgeable to their professors or fellow students
F,TRUE ,FALSE,FALSE,TRUE ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,They don't want to be accused of cheating.
F,TRUE ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,The use of AI has often been deemed as cheating and that it encourages laziness. That has made individuals to not want to disclose fully their use of AI due to possible stigmatization. The same individuals won't have a problem reporting how their friends use the AI.
F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"I think there is a stigma attached to the usage of LLMs, particularly for school."
F,TRUE ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"I think the most likely explanation for this gap is social choice bias. Students might not report using LLM if they think that academic organizations look down on it, but their friends may not care as much about this reputation."
F,TRUE ,TRUE ,FALSE,TRUE ,FALSE,TRUE ,FALSE,FALSE,FALSE,FALSE,FALSE,"Some students might downplay their own use of LLMs due to concerns about academic integrity or stigma around relying on AI for assignments. And again Students might assume their friends use LLMs more frequently because AI generated content is widespread, and discussions about AI tools are common."
F,TRUE ,TRUE ,FALSE,TRUE ,TRUE ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"I think its social bias- students might downplay or be hesitant to confirm how much or the extent to which they use LLMs due to fear of being judged as being dishonest or lazy.
Some students might not be using or rarely uses  LLMs but believe everyone else is using them out of rumour and take it as the norm"
F,TRUE ,TRUE ,TRUE ,TRUE ,TRUE ,TRUE ,FALSE ,FALSE ,TRUE ,FALSE ,FALSE ,"The disparity is most likely caused by social desirability bias, in which students underreport their own LLM usage to look more academically honest, while overestimating their peers' use due to asymmetric perception bias.  Furthermore, students may mistake their awareness of LLM debates or availability for actual usage, distorting their views of others' conduct.  This mismatch demonstrates how individuals frequently misunderstand group standards in relation to their own behavior."
F,TRUE ,TRUE ,TRUE ,FALSE,FALSE,FALSE,FALSE,TRUE ,FALSE,FALSE,FALSE,The most likely explanation for this gap is social desirability bias students may underreport their own use of LLMs to avoid appearing overly dependent on AI while assuming their peers use them more freely.
F,TRUE ,TRUE ,TRUE ,FALSE,TRUE ,FALSE,FALSE,TRUE ,FALSE,FALSE,FALSE,"The gap likely comes from social desirability bias—students may underreport their own use of LLMs to appear more independent while assuming others rely on them more. Additionally, perception gaps cause students to misjudge their peers' behavior based on assumptions rather than direct knowledge.
"
F,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"The gap likely stems from social perception biases. Students probably understate their use of LLMs because they want to appear self-sufficient yet they misjudge their classmates' utilization by what they overhear or believe to be true. Student tracking of their AI usage can differ from their assessment of other peers because of mistaken evaluations.
"
F,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"the gap could be explained by a combination of personal privacy, social perceptions, and varied usage patterns that don't always match what students expect of their peers."
F,TRUE ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE ,FALSE,FALSE,FALSE,"Probably a sense of denial and underlying embarrassment for utilizing these tools because it suggests that their own work is not up-to-par with the professional levels needed to produce such work, and that they as students may not be as well adept, intelligent and skilled/talented as previously assumed because they have used/needed to use these tools."
F,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"The prospect of getting caught. For most schools, getting caught using AI for homework can get students expelled from their program at school."
F,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"They probably underestimate how much their friends use LLMs. I know for a fact I don't really talk about usage with them, though sometimes we joke around about using AI. That's where my assumptions derive from."
F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I don't readily discuss this with my friends. I can see them use it on occasion but I don't search through their search history or use AI checkers on their work.
F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I guess they simply don't know much about what their friends do on the daily basis or how much their friends use LLMs to be exact.
F?,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lack of communication.
F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,they might not know well enough if their friends use it.
F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,i think so the most likely explanation is that people dont disclose with others of how much they rely on AI
F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I think it's hard to know how much friends use LLMs.
F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No knowledge of their friends using LLMs so therefore they truly do not know
F,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Sometimes their friends can lie
F,TRUE ,FALSE,FALSE,FALSE,TRUE ,FALSE,FALSE,TRUE ,FALSE,FALSE,FALSE,Their friends may not disclose to college students how much they use LLMs. Most people like to keep their usage a secret because they may feel ashamed or subpar compared to their peers if they tell others they use LLMs for their work.
F,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,I think it is because people do not talk about how much they use LLMs since there is still somewhat of a stigma with using it.
F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,some may not have friends in college
T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I think it's just the difference between expectations and reality.
F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Certain friend groups have more of use of LLM than others
F,FALSE,TRUE ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE ,FALSE,FALSE,Some students tend to say they use LLMs to sound intellectual and trendy but they're lying.
F,FALSE,TRUE ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"I think only a small portion of students actually rely on llms to do coursework, while most students do not. That small portion leads some students to assume most are using it."
F,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,poeple usually think their friends are more dependant on  LLMs than themselves
T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Overestimating Peer Usage
F,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,It is likely due to how much people talk about AI nowadays. Along with it mostly being used by high school and college students.
F,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,People don't want to admit how much they personally are using but are more noticeable of people who do use it.
F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,We are bad at predicting how little or much our friends use it.
F,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"I guess the gap could be because we don't see each other use LLMs, we have to speculate, and we are more likely to speculate radically than moderately."
F,FALSE,TRUE ,TRUE ,FALSE,FALSE,FALSE,FALSE,TRUE ,TRUE ,FALSE,FALSE,Protecting their self-esteem by disguising their true ai usage by marginally reporting their peer's usage.
T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Biasness
F,TRUE ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE ,TRUE ,FALSE,FALSE,"I think we like to judge others for their use and our perceptions of others is jaded when they tell us they use an outside source to help them on assignments, as we view it as a crutch. Yet we use the same crutch, most of us are self-reflective"
F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,The people taking the surveys don't use AI as much as the people that they know do
T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,they did not use it often
F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,I think the gap is because more students are using llm
F,FALSE,FALSE,TRUE ,FALSE,TRUE ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,there might be mislead knowledge and an underestimate of how much they actually use ChatGpt
F,FALSE,TRUE ,TRUE ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Students may underestimate their own use of LLMs while overestimating their friends' use.
F,TRUE ,TRUE ,TRUE ,FALSE,FALSE,FALSE,FALSE,TRUE ,FALSE,FALSE,FALSE,"I think many of us underestimate our use of AI, but overestimate our peers usage based on assumption. No one wants to own-up to their overreliance on AI"
F,TRUE ,FALSE,TRUE ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE ,FALSE,FALSE,"I'd say they were being dishonest. If their friends are doing it more frequently, then so are they."
