is_promise,is_efficiency,is_ethics,uninformative,original_message,row_id
1,1,0,0,"Hi, it's in both of our best interets' if I roll and you go in. That way, we are both almost certainly guaranteed $30+ dollars. It's unlikely that I'll roll 1 and that will be the decision chosen. You'll have well over an 80% chance of making $36.",66
1,1,0,0,"Hi there :) It seems to me like we should work together. I'll always choose to roll and you always choose in. That way, you'll have a 5/6 chance of more than doubling your money and I'll do better too! Looking forward to playing with you",70
1,1,1,0,We should agree on choosing in and rolling otherwise its not going to be fair for one of us. ,50
1,1,1,0,"I'm picking roll all 10 times. I'm guaranteed a floor of $15, but would love $30. I get zero pleasure out of scamming you by picking don't roll, and would rather have the satisfaction of knowing I doubled my own payment (and knowing you made out well too). So if you're willing to take the chance of the roll, opt in! :)",69
1,1,0,0,"Hello! if you choose in, I promise to roll every time!! I want us both to make money from this SOM study :) Happy Friday!!",71
1,1,1,0,"choose ""in"", i will then roll, the chance will be 5 in 6 that you will get 36.- and i will get 30.- thats maximum pay off for you. and i will be making 30.- so you will in any case still end up with more money than me: 36 CHF!",58
1,1,0,0,"Good luck! Since I'm not gong to be able to see your decisions, I guess I'll try to make decisions that will give the best outcome.",68
1,0,0,0,I will always choose to ROLL if you choose IN,67
1,1,0,0,"Hey A, I think the way to maxmize both our profits here is that I would trust that you make the IN decision and  you trust that I make the ROLL decision , which I think have better earnings than just a mere 15 CH, cheers",57
1,0,0,0,Hi! I will roll every time.,75
0,0,0,1,"a singer in a smoky room, the smell of wine and cheap perfume",74
0,0,0,1,Good luck!,81
1,1,0,0,To increase our odds for higher payout I'm going to roll every single time.,83
1,1,1,0,"To me, the difference of $30-42 is not worth screwing you over, so in each decision I will choose ROLL and hope that we both get money.  It's up to you whether you would like to gamble and get $15 or $36.  5/6 chance, your choice.",72
1,1,1,0,"Hi there! I'm into game theory and also into sharing, so (in the words of Barry Nalebuff), let's expand this pie! I'll choose ""Roll"" every time, and I hope you choose ""In"" :-)",85
1,1,0,0,"Hi, please please choose in, and I swear that I'll choose ROLL; therefore you have a 5/6 chance of getting $36 instead of $15 and Ill get $30 instead of $15... it's a win win situation for both of us (unless it lands on 1, but since they choose 1 of 10 decisions that's very unlikely) so pleeease choose in",79
1,1,0,0,"Hi Person A, I think the best outcome would be if you choose In and I choose Roll, as it's likely we'll both get paid at least $30. I tend to trust people more than distrust them, so if you choose In, I will be choosing Roll. hopefully we leave this session with a lot of money!",78
1,1,0,0,"Hi A, the way for us to make the most out of this experiment is to work together and trust each other, with you choosing 'In' for all the 10 decisions, and me choosing ""Roll"". Best, B",84
0,0,0,1,Good luck to you.,86
1,1,0,0,"Hi! Looking at the table, it's pretty clear that IN/ROLL is the best combo. If you average out the dice rolls, it's $30 for both A and B, so $60 total. This is the best payoff in the game. I'll choose ROLL for all answers, and I suggest you choose IN for all of them, that way we both can get the most money from the study. ",89
1,1,0,0,"A difference of $12 really isn't that much. I'll roll for all the decisions, no matter what, $30 is good enough with me.",80
1,1,0,0,"A classic prisoner's dilemma! Obviously the ideal is A choose In, B choose Roll Die=2,3,4,5,6. But there is a chance with die = 1 that payoff for A is 0, though it is slim. You should select In for at least some of the 10 and I will select Roll for all.",76
1,1,1,0,"I promise to ""ROLL"" if you choose ""IN"". This way we would both win. Your expectation would be 5/6 * 36 = 30 and mine 30, too. Hence we could double our payoff. This is a win-win-situation. ",52
1,0,0,0,If you choose IN i will choose ROLL,90
0,0,0,1,hello how are you,93
1,1,1,0,"Pick In.  I'll Roll and then you have a 5/6 chance of winning $36, which is an expected $30 payoff, same as me.  It's your best option, game theoretically",92
1,1,0,0,"Hey, I feel like IN and ROLL is our best bet for optimizing each of our payments",94
0,0,0,1,Hello,101
1,1,0,0,"Ok, this is simple. I'm not too thrilled by this kind of game-theory-behavior studies fooling people around. I won't pretend I don't prefer 42 to 30 if it's my mother giving me the money, but here I just want to see the case where experimenter have to pay the most, so I will choose ""ROLL"" all along, and I hope you can choose ""IN"" and help us all.",91
1,1,0,0,"I understand that $15 is the safest route to go here, but I am planning on rolling each time. I will be getting money no matter what, and $30 is definitely enough for me. I'd like you to get the opportunity for more than $15 too!",88
1,1,0,0,"Hello, I plan on making mutually beneficial decisions. ",95
1,0,0,0,"if you choose in, I'll choose roll",99
1,1,0,0,"Hi! If you were to play it safe, you would go ahead and pick ""OUT."" But hey, it's a Friday afternoon and you have nothing to lose, so we should work together to increase our chances of winning more money. I'll assume you pick IN and will choose to Roll so we can both earn more money!",100
1,1,0,0,"If you choose IN, I promise to never choose ""don't roll""...that way we will both have a 5/6 chance of making $30 or more ($36 in your case). ",96
1,1,1,0,"I am more than happy with the 30$ payout. I'm not going to a be a jerk and try to take 12$ more, that's silly. It is up to you if you are willing to risk the 5/6 odds for 36$ or just take the 15$ for both. I will be choosing roll for all 10. ",103
0,0,0,1,Hi!,111
0,0,0,1,hi this is person B lol,109
1,0,0,0,I will always choose roll ,106
1,0,0,0,Who dares wins,102
1,0,0,0,"Since I am starting with 0, willing to take the rolls.  Already a winner as I'm not sitting at my desk.  :0",87
1,1,0,0,Hello person A. I just wanted to let you know that I plan to act in a way that is mutually beneficial.,112
0,0,0,1,you choose to be In or Out?,110
1,1,0,0,"Hi!! I'm promising to choose roll for all 10 decisions; I think it's more fun if we both get something and this gives us the maximum possible net gain ($66 total). Out of the 10 decisions, then, there's like an 80 percent chance of not getting the last outcome, but if you aren't comfortable with the chance of rolling a 1 or don't think I'm trustworthy it's totally cool if you pick out. ",77
1,0,0,0,"Hi, I believe this is a matter of trust. You have no reason to believe me but all I ask is that you make the decision that works for you and trust me. That said, nice to meet you, sort of. ",107
1,1,0,0,we both get maximum payout if you pick in and I pick roll,97
1,1,1,0,"I will choose ROLL on the basis that, if you have chosen IN, you are risking receiving no payoff in order to maximise our collective potential payoff. I therefore think you deserve a good chance of earning $36.",115
1,1,0,0,"hi! make sure to choose, ""IN"" and I'll roll too",108
1,1,0,0,"Hello - I promise you that I will choose ""Roll"" in all ten trials. I want to maximize the amount of money that both of us will earn from the experiment. :-)",119
1,1,1,0,"Pick IN -- Let's take a gamble and be generous! The odds are good for 36/30, so let's go for it! ",116
1,1,0,0,"Hello, ok so this game is based on economics game theory. In order for us to work together and ""win"", you would have to choose in and I choose roll. This guarantees you at least the chance to win 36 dollars and me to win 30, whereas if you choose out you can only ever win 15. The odds are that you'd win 36 dollars and I'm perfectly fine with 30 instead of 42, so I think that you should choose in.",114
1,1,1,0,"Hi there person A partner,  I totally understand if you don't trust someone on the internet and want to choose OUT. however, I am broke and assume you are too if you're here ;) so I figure i'll go for some good karma and roll on all ten picks.Obviously then we both do better if you choose IN. have a great day!",120
1,1,0,0,"Here's the best way to make the most for either of us: Choose OUT for the first 8 decisions and we will gamble with the 2,3,4,5,6 for the last 2. You're likely to make a little more but that's alright.",105
1,1,0,0,"I promise to choose roll every time, so choose in.",113
1,0,0,0,i will always choose roll,126
1,1,0,0,"If you choose to roll IN for all 10 rolls, I will promise to roll IN as well for all 10 rolls so that you have a 5/6 chance of making $36 instead of $0 or only $15. If you do not roll IN for all 10 rolls, I will choose DONT ROLL and you will for sure make $0. Thanks :) ",124
1,1,0,0,Hello -- shall we try to cooperate and roll?,123
1,1,1,0,It's important that I maintain your trust so that we both get more money so I guarantee that I will click roll and I hope you that you will choose In. ,73
0,0,0,1,Hi Hope we will have some fun doing this experiement,125
1,0,0,0,I will always choose roll since payoff will most likely be the same for me,82
1,1,0,0,"I would recommend we max our potential earnings, I will be choosing a roll , since we both get paid the most when the die rolls a 2.3.4.5.6. and as for the die rolling 1 the probability is too low. If you wish to make the most out of the experiment i suggest you play IN and I play ROLL. Thanks. ",128
1,1,0,0,"Hello! I'm trying to mess with the experiment results by showing mutual cooperation (heh) so I'm gonna be choosing ROLL and I think it will be a really interesting case study for the researchers to figure out how 2 strangers can cooperate, so hopefully you choose IN!!! ",127
1,1,0,0,"Since choosing ""roll"" provides a better chance of both of us getting payment, and since the payment will be above zero, I can tell you that I'm much more likey to choose roll over don't roll. Of course, there's still the possibility of you not getting anything if a 1 appears, but that chance is 1/6 every turn. You'd also be earning more than if you choose out if a 2-6 is rolled. :)",132
0,0,0,1,"I assume you're not acutally a participant in this room that I am paired with, but please choose IN!",129
1,1,1,0,"Hi! The way I see it, this money was never mine in the first place. The difference between $42 and $30 is not large enough to constitute a decision for me to choose 'Don't Roll,' therefore I highly encourage you to choose IN rather than OUT so that we can both gain. Thanks! ",136
1,1,1,0,"As a person A you are worried right now that I'll promise to choose Roll, and then when I go home and take the survey I will pick ""Don't Roll"" because no-one will be watching. All I can do is promise that I will choose Roll. I don't appreciate time inconsistant behavior in anyone, especially myself, and I would much rather two people walk away from this happy. ",121
1,1,0,0,The best way to maximize payment would be for you to choose IN every turn and then I will respond with ROLL to try to get the $30-$36 payoff for both of us. We have 5/6 chance of getting the max payoff ($66). ,139
0,0,0,1,"Hello Person A, this is a very complicated study, I haven't done one like this before. There's so many different choices to make. and so many different elements of risk. I hope you're having a great day and this works out well for the both of us!",118
1,1,0,0,You should opt IN and then if I choose to Roll and theres a good chance you will make 36 dollars which is the highest payout you can get. ,122
1,1,0,0,"Hi! I will be choosing ROLL for all 10 decisions. This gaurantees me $30, which I am very happy with. I understand this means a 1/6 chance you get $0, but you also have a very high chance of getting $36 instead of $15. I understand if you don't want to take this chance, and am happy with $15 as well. I assure you I will choose ROLL every time, however.",137
1,0,0,0,I will choose roll for all decisions. ,142
1,0,0,0,I will choose roll for all ten ,131
1,1,0,0,"It is in your best interest to choose IN because: your expected value, if you think it's 50/50 whether I roll, is $15 either way (5/6th chance for $36, 1/6th for $0). since my expected value increases no matter what if you choose IN, I would like to reward you by guaranteeing a 100% chance I will ROLL.  That raises your expected value to $30. Thanks for choosing in and getting us both more $$ :)",130
1,1,1,0,"I would really like for both us to maximize our earnings. I would propose that for all 10 decisions, you could choose IN and I could choose ROLL, because there is a very high chance that you'll get $36 and I'll get $30. I know it's hard to trust me, and it seems suspicious especially since I could choose DON'T ROLL, but I would rather get $30 than $15, and I don't mind that you would get more",133
1,0,0,0,"hi, will choose roll. if you want, press out for maybe 5/10 times. That way you will definitely get something  hopefully. ",36
1,1,0,0,"I think that the best way to ensure that we both earn an appreciable amount of money is through trust. If you choose IN for all 10 times, I can roll ten times. Thus the odds that we both receive $30 or $36 are pretty high. You will have only a 1 and 6 chance of earning zero dollaars. a 5 out of 6 chance that you get $36.",143
1,1,0,0,"Hi! If you want, choose to be IN the first 5 times and OUT the next five and I'll choose roll the first 5 and don't roll the next 5. I think that might be fun. Or do what you want! Potstickers are delicious!",98
0,1,0,0,"Hello! I am not strong on logic/math problems, so I will trust you to make the best decisions for both of us. :) ",104
1,0,0,0,I will be choosing Don't Roll for all 10 decisions. I recommend that you choose Out for all 10 decisions.,135
1,1,0,0,Hi! Would you like to work together? If you choose IN everytime I will select roll. This will give us the best chance to make the most money. Since we will only get paid for 1 out of 10 times. This will help you earn $36 and myself $30 most likley. Good luck!,144
1,1,0,0,"Hey! I'm taking a game theory class right now and the best outcome for both of us is for you to choose IN and I'll choose to roll (5/6 of the time, we both get a great payoff). I promise to roll all 10 times -- hope you're IN :)",146
0,0,0,1,Hi,153
0,0,0,1,"Pleased to meet you, virtually. Have a great day! :)",150
1,1,1,0,Hey person A! FYI I will always choose Roll (definitely rather have the $30 then $15 and don't want to be greedy). But totally understand if you're not willing to take the risk! ,140
1,0,0,0,Good luck!  I love Las Vegas so you can figure out what I am going to choose,149
0,0,0,1,"Hey, I am going to choose Don't Roll each time and that will garuntee both of us $15.",138
1,0,0,0,I will choose roll. ,152
1,1,0,0,"Hello, I understand that if you choose OUT you would be guaranteed a payment, but , I'm hoping that you would be willing to make this gamble with me so that we both receive a higher payout (since at the end of the day, neither of us would be technically losing money). I'm agreeing now to choose ROLL so you have a 5/6 chance of earning more money than if you chose OUT.",154
0,0,0,1,working hard or we all go home. There is nothing to it but to do it.,148
1,0,0,0,Let's roll!!!!!!!!,155
0,0,0,1,Hi,157
1,0,1,0,"I am compassionate to a fault (my mom calls it compassion devoid of wisdom), and therefore have absolutely no intention or desire to screw you over in any way. I will choose ROLL no matter what, because the $12 isn't that important in the grand scheme of things, but it is your choice to play your odds as to whether you want to be IN or OUT. Just know that I pinky promise that I will ROLL.",134
1,1,0,0,"Hi - this seems to be a classic game theory experiment. If you choose out, then we both are ""at a loss and get only $15"". Alternatively, if you choose IN, then I will be incentivized to choose Roll because that will result in $30 to each of us (5/6*36 and 1/6*30 + 5/6*30). I wouldn't choose Don't Roll because that will incentivize you to choose Out and nobody gains anything from that.",156
1,1,0,0,"I will choose ROLL every time, so you should choose IN",151
0,0,0,1,looking forward to making some money,147
1,1,0,0,"Ok, here's how I see it. I want us both to get more than $15 so I want you to feel safe to choose IN every time. I will guarantee choosing roll every time, and make a note of it. Then we both have basically a 5/6 chance of getting $30 or more. I know you would get 6 more but I would rather us both feel safe getting more than 15. Thanks, I hope you agree = )",141
1,1,0,0,"If you pick IN, I will roll every time. Your risk but also your reward. I will not choose DON'T ROLL.",158
0,1,0,0,"please use a lot of ""in"" ",19
0,0,0,1,my goal is to earn 50 dollars.good luck to boyh of us!,145
1,1,1,0,"Hey, I think the best move here would be to roll, it's the highest payoff for both of us, and while $42 is enticing if you don't roll, $30 is still a lot of money and it doesn't leave me high and dry with nothing. Thanks!",117
