error,row_id,original_message,code,treatment
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",12,El ruido de la sala dificultaba la concentración para la secuencia de numeros,0wy31kvd,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",13,Me fastidiaba demasiado el ruido y sentía que no me podía concentrar del todo,0xdi8t29,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",14,fue bueno ,0xhplkid,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",15,muy agradable,0yastm3o,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 1, 'CONC': 1, 'STR': 4 }",16,horrible sonido del altavoz no deja concentrar de forma adecuada ,13n23btn,2
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 5, 'CONC': 4, 'STR': 1 }",17,BASTANTE TRANQUILO Y AGRADABLE,1d3du1m6,1
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 4, 'CONC': 4, 'STR': 2 }",18,Fue silencioso y tranquilo,1el29l7t,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",19,MUY AMIGABLE,1fvjjos3,2
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",20,bueno,1hj2ursw,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 5, 'CONC': 4, 'STR': 1 }",21,"muy agradable, se esta comodo para desarrollar el experiemento ",1huwhr7d,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",22,"Mucho ruido, solía ser molesto para memorizar las palabras ",1ic4s74d,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",23,Había mucho ruido,1j2dfkxt,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 5 }",24,"Super feo, al principio creí que había sido un error y que se le había prendido el micrófono a la chica, casi levanto la mano, luego sonaba repetitivos y me di cuenta que era parte del experimento. Muy estresante.  ",1jsl2j7f,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 1, 'CONC': 2, 'STR': 4 }",25,"el problema es que esta haciendo mucho ruido porque al parecer dejaron el microfono abierto y suena horrible, como un ventilador",1pbdilgl,2
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",26,Normal,1sz5idkr,1
"{ 'SEN': 0, 'MR': 0, 'MS': 1, 'CONF': 3, 'CONC': 3, 'STR': 3 }",27,silencioso,1tp6f785,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",28,pues no se si hace parte de experimento pero un ruido en todo momento,1uauyxcf,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",29,muy bien,1vyejqct,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",30,bastate bien,1wn5ulpz,2
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",31,Un tanto agobiante,1x64q25u,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 2, 'STR': 3 }",32,"Hay un ruido de fondo que me mantuvo con la mente en blanco, ayudo a concentrarse",1zaq64hr,2
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 4, 'CONC': 3, 'STR': 2 }",33,tranquilo,211bjkj7,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",34,muy agradable,22rik80a,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",35,"durante todo el experimento hubo un ruido tenaz, no se si fue parte de ello",232ycds3,2
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 5, 'CONC': 4, 'STR': 1 }",36,Lo suficientemente agradable para realizar la actividad con comodidad y silencio,2j5dt56i,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",37,Muy bueno,2m5ss3ox,1
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",38,nada ,2mgxsjfm,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",39,FUE BUENA,2mljy8hi,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",40,"Pues fue un poco incomodo escuchar los sonidos, pero no me incomodaba ya que suelo estudiar con ruido; además creo que hacia parte del experimento.  ",2ns5dq5t,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 4, 'STR': 2 }",41,Agradable para hacer calculos mentales,2rmngz5y,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 5 }",42,"Horrible, los sonidos reproducidos hacen que pierda la concentración y me estrese",2ryhlidf,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 4 }",43,Incòmodo con el ruido de fondo,2tn7fh9c,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",44,El ruido no me permitía concentrarme bien .,2xkfrpna,2
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",45,no fue muy agradable,31p6i1gp,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",46,Molestia por el ruido,354xmfqr,3
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 4, 'CONC': 3, 'STR': 2 }",47,Tranquilo,38kfu8gp,1
"{ 'SEN': 0, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 2, 'STR': 3 }",48,"bien, aunque el sonido me desconcentraba un poco",3dxr24y5,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",49,El ruido me molestò,3guvfo9k,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 1, 'CONC': 1, 'STR': 4 }",50,"Cero agradable, habia demasiado ruido que distraia",3gz7u82j,3
"{ 'SEN': 0, 'MR': 0, 'MS': 1, 'CONF': 3, 'CONC': 2, 'STR': 3 }",51,estaba tranquilo sin embargo me cuesta concentrarme en total silencio,3h9w8xql,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 4 }",52,"BUENO, PERO EL SONIDO ME CAUSABA COMO IMPACIENCIA",3iqujqjx,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",53,No fue agradable pero uno se acostumbra al sonido,3jip8k0f,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 2, 'STR': 3 }",54,"Los sonidos si distraen bastante sobre todo en los números, en el resto no ",3vrbjv1b,3
"{ 'SEN': 1, 'MR': 1, 'MS': 0, 'CONF': 5, 'CONC': 5, 'STR': 1 }",55,"fue agradable, tiene la temperatura adecuada no se escucha ruido y es bueno para concentrarse",45t5no4z,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",56,no fue agradable por que el sistema de sonido estaba reproduciendo un sonido de interferencia,49jcnh90,2
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",57,Normal,49zcfjtw,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 5, 'CONC': 3, 'STR': 1 }",58,"Fue agradable, còmodo",4acqr36p,2
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 5, 'CONC': 4, 'STR': 1 }",59,agradable y tranquilo,4f93qypp,1
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 4 }",60,"Ya que no hay comunicacion con nadie no podrias de terminarlo, pero fue tencionante  por las tares",4hfha8gl,1
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",61,Todo en orden,4hmtrpnq,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",62,No fue agradable por el ruido del micrófono,4qyp0n2j,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",63,No fue nada agradable hacer el ejercicio con un ruido muy molesto sonando ,4s1taztx,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",64,"No sé si era a propósito, pero los sonidos de fondo desde la sala de dirección en la sala fueron molestos.",4t9ime46,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",65,fue agradable,4yunlbve,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 4 }",66,El ruido me molesto un monton,51788tnk,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 3 }",67,Agradable y limpio,542tdrwb,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",68,"Mala, no apagaron el altavoz y se escuchaba ruido de fondo que distrae.",5darkdzg,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",69,fue un ambiente ameno ,5fcp53bf,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",70,Estuvo bien :),5lj2gfer,2
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 2, 'STR': 3 }",71,Fue algo confuso,5m5qr726,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 5, 'CONC': 3, 'STR': 1 }",72,"fue buena, muy acogedora",5qlgmfce,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",73,Incomodo por e ruido,5r6664la,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",74,El ruido de la calle y de los parlantes me distrajo mucho ,5rptzc1h,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",75,buena ,5sw4wtnh,1
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",76,disruptivo,5t5a0als,3
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 4, 'CONC': 4, 'STR': 2 }",77,Fue tranquilo,5xdqreiu,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",78,hay un ruido que no deja concentrar,620s88wq,2
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",79,terrible,63vilrnk,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",80,"El ambiente fue un poco ruidoso, al principio fue poco agradable después el cerebro se adapta",64lrcuux,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",81,muy agradable,6e22sn9t,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 2, 'STR': 3 }",82,Desconcetraba un poco el ruido de los altavoces,6fonetg0,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",83,Muy agradable,6hihvu1s,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",84,El ruido fue incomodo al inicio luego me acostumbre,6hxg6sxd,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",85,Sonó ruido por los altavoces todo el tiempo :c ,6il08mpf,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",86,fue agradable,6kui6vhd,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",87,"Algo desagradable, todo el tiempo hubo un ruido desde los parlantes ",6mf4oq0r,2
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",88,sì,6tb6wx8l,1
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",89,bien,6u4zj052,2
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 3, 'CONC': 5, 'STR': 3 }",90,El silencio ayuda a concentrarme mejor,6wot483c,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",91,"Malo, el ruido del parlante era parte del experimento?",6ydofoda,2
"{ 'SEN': 0, 'MR': 1, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 3 }",92,"Se presentò un ruido bastante repetitivo fuerte, sillas comodas y un adecuado ordenador",6ypbwic6,2
"{ 'SEN': 0, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 4, 'STR': 3 }",93,Un poco de ruido pero pude mantener la concentracion para el experimento,71u6n0p0,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",94,demadiado ruido ,73oygbgo,3
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 4, 'CONC': 4, 'STR': 2 }",95,Silencioso y tranquilo,75gdiyez,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",96,En general fue agradable sin embargo el ruido de fondo era molesto,79875gw4,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",97,Fue agradable,7eh8l4vc,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",98,Estuvo bien ,7f3hbz14,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",99,no es agradable el sonido del micrófono todo el tiempo ,7fpucyz8,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",100,Habia un sonido feo,7gidd5iv,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 3 }",101,bastante agradable,7jfcye8k,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",102,fue agradable,7swmbqbn,1
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",103,bueno,7w9k7vcm,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",104,el ruido fue muy molesto,7xhn9smy,2
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",105,muy paila,7ya9l3ze,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 3 }",106,Fue muy bueno. Acorde al experimento,7yfnttwc,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",107,hay mucho ruido ,7zqmwk0i,2
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",108,bueno.,8144nhkc,2
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 5, 'CONC': 4, 'STR': 1 }",109,Muy tranquilo y agradable,831ckw49,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 4, 'STR': 1 }",110,Estuvo bien facil rapido y entretenido,86wm4j3y,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 1, 'CONC': 2, 'STR': 4 }",111,"Horrible, me duele la cabeza por el ruido blanco que viene y se va. ",8c5bkc6p,2
"{ 'SEN': 0, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",112,"Me incomoda el ruido de la gente cuando come, en general todo bien",8cdm5f3w,3
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 2, 'STR': 3 }",113,Fue un poco difícil conseguir la concentración debido a factores externos,8mrrp6ms,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",114,"No me gustó el ruido, desconcentra mucho",8vdd7xui,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 1, 'CONC': 1, 'STR': 5 }",115,el ruido me impide funcionar con normalidad ,90aohfyt,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",116,"a veces logro concentrarme aun con ruido fuerte del exterior, hoy no fue el caso tal vez por que anoche no dormi ",92mszlt5,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",117,muy buen ambinete,92ptazpg,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",118,Molesto por el ruido,950fwnp4,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",119,"0 agradable, me siento irritada con el ruido y mas si es gente masticando",95fq8522,3
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 4, 'CONC': 3, 'STR': 2 }",120,tranquilo ,98wm2un1,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 5, 'CONC': 3, 'STR': 3 }",121,"Super agradable, bastante cómodo ",994ixshv,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 3 }",122,"Muy buen ambiente, profesional  ",9d1bzaj4,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",123,el ruido era incomodo,9intgf4g,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 2, 'STR': 3 }",124,El ruido molesta un poco al momento de la concentración ,9is2jsgf,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 3 }",125,Bastante agradable ,9jlfemkz,1
"{ 'SEN': 0, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",126,"Normal, quizás el sonido al inicio podía llegar a incomodar, pero bien",9ktv2z90,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 3 }",127,Bastante agradable,9llk4qgt,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",128,"Regular, encontré bastante ruido, logre poca concentracion y un poco de frustracion",9m9yrmbt,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 4, 'STR': 2 }",129,bien no hubo algo que me distrajera,9pgbth3e,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 4 }",130,"Fue estresante el sonido de fondo, sin embargo es despues lo deje a un lado",9schagd7,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",131,Agradable,9sx18449,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",132,el ruido no deja concentrar mucho por el tipo de ruido,9tte0jz0,2
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",133,Incomoda,9uibb9rd,3
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",134,Bueno,a71jg2v8,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",135,Estuvo interesante pese al ruido que no me permite concentrarme,a8x6f2b5,2
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",136,super,act52iwn,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",137,Un poco incomodo debido a que habia ruido en la sala,alz57p57,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 4, 'STR': 2 }",138,Favorable. me permitió hacer las tareas de memoria de gran manera,ama3nrqo,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",139,El ruido es un poco distractor pero una vez que se logra dejar en segundo plano no afecta demasiado ,appcfae9,3
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 4, 'CONC': 4, 'STR': 2 }",140,"Fue bueno, el silencio ayuda a completar las tareas de mejor manera",aw1s2gvd,1
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 4, 'CONC': 3, 'STR': 2 }",141,muy tranquila ,az1n7vjd,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 3 }",142,muy buena,az9oyhlq,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",143,Excelente,azmfni1y,3
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",144,la interferencia fue molesta ,b17hqlar,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",145,el ruido de fondo dificulta la tarea,b38hyzlt,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",146,Agradable,b4schjt5,3
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 5, 'CONC': 4, 'STR': 1 }",147,"Es un buen ambiente para trabajar, tranquilo y cómodo",b57v2a9z,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",148,Habia ruido de fondo. Al inicio me ha costado completar la prueba por esa razon. Creo que el ruido me puso algo nervioso tambien,b5cu0xod,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",149,"el ambiente se volvio algo estresante debido al sonido de fondo que deja no concentrarse de la manera adecuada. mas sin embargo, siento que es una buena manera de concentraciòn por parte de uno mismo en la de interactuar o hacer otras cosas.",b5dun2p2,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 3 }",150,medianamente agradable,b96ji273,2
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",151,malo,baz9z2ji,3
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",152,"Algo desagradable, pero se entiende el objetivo de ser una variable que influya en las respuestas.",bb5ubzbq,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",153,muy agradable,bc2qudps,1
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 4, 'CONC': 4, 'STR': 2 }",154,Silencioso y agradable,bd4l45uc,1
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",155,Bueno.,be2scswv,1
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",156,horrible,bfegog7x,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 2, 'STR': 3 }",157,Muy bueno pero los sonidos no ayudan ,bfg36zkf,3
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",158,super,bfpupl0w,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 4, 'STR': 2 }",159,es bastante agradable ya que no hay distracciones y las herramientas para los experimentos son utiles ,bgt08i9i,2
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 4, 'CONC': 4, 'STR': 1 }",160,totalmente tranquilo,bhaoxlyp,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 5 }",161,el ruido de fondo como de interferencia del microfono no es muy agradable y me generaba estres y no podia concentrarme ,bi0pct35,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 3 }",162,estuvo bien ene general todo,bl7867dp,1
