is_promise,is_efficiency,is_ethics,uninformative,row_id,original_message
1,1,0,0,14,"hey :-) i guess it would be best for the both of us, if you would always chose IN so  when I always chose Roll the chance of us becoming more then only the 15 CHF are highes. Despite your descision I will always chose Roll. Promise! "
1,1,0,0,15,hi... i think it's best to choose in and then roll... i promise you not to choose don't roll! lets do that in all 10 decisions. its best for you and me ;)
1,0,0,0,16,I will always choose ROLL
1,1,0,0,17,"Hey! It would be best if you always decide for IN and I always decide for ROLL, this would mean a very high chance that both of us earn a lot of money :)"
1,1,0,0,18,"Hi, so here's the catch. From a probabilistic point of view best option would be A choses IN and B chooses ROLL, since there's a high chance of getting high payback on both sides. Therefore just know I'll always put ROLL. It's up to you if you wanna take the risk. Best."
0,0,0,1,19,"please use a lot of ""in"" "
1,1,1,0,20,"I know for sure I will earn 15 each round at least, I want to double the earnings and that is reasonably fair earning for me.I  will cooperate and I don't care about earning 12 more CHF than I could by cooperating"
1,1,0,0,21,"Hi Person A! If you choose IN i promise you i will choose ROLL and not DON'T ROLL. Try to do this as often as possible, so the chances that the dice will roll 1 is little and we both earn a little more than 15 CHF "
1,1,0,0,22,"Always choose IN, and I will go for ROLL so we both can win more than 15 CHF "
1,1,0,0,23,i'm going to press ROLL. So there are chances that we both get more money than 15 francs.
0,0,1,0,24,"i hope you will be IN enough times for me to DON'T ROLL.    just kidding, have fun, and play fair ;)"
1,0,0,0,25,i will chose roll (2-6) 
0,0,0,1,26,hi. good luck. 
1,1,0,0,27,"Hi! I suggest we go for the last option - you go ""IN"" and I will go with ""ROLL"" for all decisions. That way we have the best chance for both of us to get some good money. Good luck! :)  "
1,1,0,0,28,"Hey, I think it would be rather boring to just always get 15. Right? Plus if you choose IN, you have a 2/3 chance of getting more than double the 15. I promise (weird to promise to a computer) to always pick ROLL, just a heads up :D"
1,1,0,0,29,"Hi! Let's take risks! I guess I won't use don't roll so, its up to the die."
1,1,0,0,30,"I think our best chance is if you choose IN, then I will always choose ROLL. It's then more probable  we get 2-6 so we make the most money each. Ballin' "
0,1,1,0,31,Let's make this fair. I guess we BOTH want some money. 
1,1,1,0,32,"I'll be nice and always chose role, as otherwise you risk a payoff of only 15 or even 0. With In and Roll the chance for a nice payment is the highest."
1,1,0,0,33,"hey, you should always choose IN and i will always choose Roll so in that way, we will have more chances of receiving more money."
1,1,0,0,34,I case you choose IN - I'll always choose ROLL. Since it's more money for both of us.
1,1,0,0,35,if you chose IN I will chose ROLL so you could earn 36 in the best case
1,1,0,0,36,"hi, will choose roll. if you want, press out for maybe 5/10 times. That way you will definitely get something  hopefully. "
0,0,0,1,37,Hey there. :) I hope the dice when rolled give any number but one. :)
1,1,0,0,38,"I will always choose roll and you choose IN, so our chances are at highest for getting good money. I will not choose dont roll, i promise!"
1,1,0,0,39,if you choose in i will roll so that we both have chances for 30 francs or more
0,1,0,0,40,"we can choose IN and choose roll 2, 3, 4, 5 or 6..."
0,1,0,0,41,"Hello A, nice to meet you. As far as I know, it would be the best if you choose IN and I choose ROLL. Then the income can be maximized. Thank you very much. Have a nice day."
0,1,0,0,42,Hello and good luck. I hope we both get a decent amount of money. It's my first time in such an experiment and I have no idea what's going to happen.
1,1,0,0,43,"Hello A. I will always choose ""Roll"". You can either trust me and we both might get a lot of money, or choose ""Out"". Your call. But I will always choose ""Roll"", because I want to have 30fr. instead of 15.-. It's much better if we both earn at least 30.- money than just me. :)"
1,1,0,0,44,"Hello. :) If you feel like taking the risk of die = 1, go for IN and I will go for ROLL. I believe it is best for both!"
1,1,0,0,45,Hallo! I think we would be better off if you choose IN. I intend to choose ROLL in the second phase.  The probability of both of us getting  30something CHF is 5 out of 6
1,1,0,0,46,"Hallo I m your Person B, I m going to choose ROLL everytime. I know my earning are going to be about 33% lower but I think this way we can both earn a bit more. Make good choises!"
0,1,0,0,47,"I think, the probability that both of us get a lot of money is the highest, when you enter IN and I choose ROLL. (You would even get more than  me :))"
1,1,0,0,48,"I will choose roll on all the desicions, in order for both of us to have the chance to get more money if you are interested."
1,1,0,0,49,"Hello person A! So according to probabilities, if you choose IN and I ROLL, then  there is 83.33% probability that you will get 36 chf and  I will get 30 CHF at each time (that is the probabiliy that the dice shows 2,3,4,5 or 6). So each time I roll there is 84% (=5/6) probability that we will get maximum profit. Therefore, please choose always IN and I will always choose ROLL!"
0,1,1,0,50,We should agree on choosing in and rolling otherwise its not going to be fair for one of us. 
1,0,0,0,51,"I will choose ""ROLL"". Regards."
1,1,0,0,52,"I promise to ""ROLL"" if you choose ""IN"". This way we would both win. Your expectation would be 5/6 * 36 = 30 and mine 30, too. Hence we could double our payoff. This is a win-win-situation. "
1,1,1,0,53,"Hi so, I guess we are both here to get the most money out of it. I suggest we make it simple, 15 CHF is not the best we can get, also it would not be fair for me to choose ""DON'T ROLL"" because that would mean you get nothing. I will go for ""ROLL"" in all 10 decisions, and we can both be happy :D Thanks, I hope I can count on you! You can certainly count on me!"
1,1,0,0,54,"Hi there, I hope you will always go for IN, because I will click on ROLL. So you will have a high probability to receive 36 CHF and I may receive 30CHF. I think that is the best strategy to make the most out of this study. best regards person B"
1,1,1,0,55,"dear A. If we cooperate we can both get more than 15 francs. If you choose IN I will always choose ROLL, so your chance to get 36 francs will be very high. Since I would not want to be screwed over for the price of a beer and a pack of cigarettes (12 francs) if I was A, I won't choose DONT ROLL, so don't worry.  cheers, yours sincerely, B"
1,1,0,0,56,"We could both win if you choose IN all the time and I roll. You will only have a 1/6 chance of not getting paid. Trust me, or not.. Good luck!"
1,1,0,0,57,"Hey A, I think the way to maxmize both our profits here is that I would trust that you make the IN decision and  you trust that I make the ROLL decision , which I think have better earnings than just a mere 15 CH, cheers"
1,1,0,0,58,"choose ""in"", i will then roll, the chance will be 5 in 6 that you will get 36.- and i will get 30.- thats maximum pay off for you. and i will be making 30.- so you will in any case still end up with more money than me: 36 CHF!"
1,1,0,0,59,if you chose IN i will always chose ROLL so both our chances will be as high as possible to earn more than 15 chf. so the chance for you to win 36 and me 30 chf will be high and not just 15chf if you choose out. hope that's fine 
1,1,0,0,60,"Hello Person A, I just wanted to inform you that I will take 10 times ROLL, since I can't lose anything anyway, and it's the best outcome for both of us."
1,1,0,0,61,"I promise that I will choose ROLL in every decision. If you choose IN in every decision, the profit will be maximized for both of us."
1,1,0,0,62,"I commit to choosing to ROLL in each chance. So, if you decide to choose IN, with a very high probability, we maximise our payoffs."
1,1,0,0,63,"Hi, I'm going to play ROLL every time so we both get 30 dollars or more!"
0,0,0,1,64,Lets go
1,0,0,0,65,I am going to roll. 
0,1,0,0,66,"Hi, it's in both of our best interets' if I roll and you go in. That way, we are both almost certainly guaranteed $30+ dollars. It's unlikely that I'll roll 1 and that will be the decision chosen. You'll have well over an 80% chance of making $36."
1,0,0,0,67,I will always choose to ROLL if you choose IN
1,1,0,0,68,"Good luck! Since I'm not gong to be able to see your decisions, I guess I'll try to make decisions that will give the best outcome."
1,1,1,0,69,"I'm picking roll all 10 times. I'm guaranteed a floor of $15, but would love $30. I get zero pleasure out of scamming you by picking don't roll, and would rather have the satisfaction of knowing I doubled my own payment (and knowing you made out well too). So if you're willing to take the chance of the roll, opt in! :)"
1,1,0,0,70,"Hi there :) It seems to me like we should work together. I'll always choose to roll and you always choose in. That way, you'll have a 5/6 chance of more than doubling your money and I'll do better too! Looking forward to playing with you"
1,1,0,0,71,"Hello! if you choose in, I promise to roll every time!! I want us both to make money from this SOM study :) Happy Friday!!"
1,1,1,0,72,"To me, the difference of $30-42 is not worth screwing you over, so in each decision I will choose ROLL and hope that we both get money.  It's up to you whether you would like to gamble and get $15 or $36.  5/6 chance, your choice."
1,1,0,0,73,It's important that I maintain your trust so that we both get more money so I guarantee that I will click roll and I hope you that you will choose In. 
0,0,0,1,74,"a singer in a smoky room, the smell of wine and cheap perfume"
1,0,0,0,75,Hi! I will roll every time.
1,1,0,0,76,"A classic prisoner's dilemma! Obviously the ideal is A choose In, B choose Roll Die=2,3,4,5,6. But there is a chance with die = 1 that payoff for A is 0, though it is slim. You should select In for at least some of the 10 and I will select Roll for all."
1,1,0,0,77,"Hi!! I'm promising to choose roll for all 10 decisions; I think it's more fun if we both get something and this gives us the maximum possible net gain ($66 total). Out of the 10 decisions, then, there's like an 80 percent chance of not getting the last outcome, but if you aren't comfortable with the chance of rolling a 1 or don't think I'm trustworthy it's totally cool if you pick out. "
1,1,0,0,78,"Hi Person A, I think the best outcome would be if you choose In and I choose Roll, as it's likely we'll both get paid at least $30. I tend to trust people more than distrust them, so if you choose In, I will be choosing Roll. hopefully we leave this session with a lot of money!"
1,1,0,0,79,"Hi, please please choose in, and I swear that I'll choose ROLL; therefore you have a 5/6 chance of getting $36 instead of $15 and Ill get $30 instead of $15... it's a win win situation for both of us (unless it lands on 1, but since they choose 1 of 10 decisions that's very unlikely) so pleeease choose in"
1,1,0,0,80,"A difference of $12 really isn't that much. I'll roll for all the decisions, no matter what, $30 is good enough with me."
0,0,0,1,81,Good luck!
1,1,0,0,82,I will always choose roll since payoff will most likely be the same for me
1,1,0,0,83,To increase our odds for higher payout I'm going to roll every single time.
1,1,0,0,84,"Hi A, the way for us to make the most out of this experiment is to work together and trust each other, with you choosing 'In' for all the 10 decisions, and me choosing ""Roll"". Best, B"
1,1,0,0,85,"Hi there! I'm into game theory and also into sharing, so (in the words of Barry Nalebuff), let's expand this pie! I'll choose ""Roll"" every time, and I hope you choose ""In"" :-)"
0,0,0,1,86,Good luck to you.
1,0,0,0,87,"Since I am starting with 0, willing to take the rolls.  Already a winner as I'm not sitting at my desk.  :0"
1,1,0,0,88,"I understand that $15 is the safest route to go here, but I am planning on rolling each time. I will be getting money no matter what, and $30 is definitely enough for me. I'd like you to get the opportunity for more than $15 too!"
1,1,0,0,89,"Hi! Looking at the table, it's pretty clear that IN/ROLL is the best combo. If you average out the dice rolls, it's $30 for both A and B, so $60 total. This is the best payoff in the game. I'll choose ROLL for all answers, and I suggest you choose IN for all of them, that way we both can get the most money from the study. "
1,0,0,0,90,If you choose IN i will choose ROLL
1,1,0,0,91,"Ok, this is simple. I'm not too thrilled by this kind of game-theory-behavior studies fooling people around. I won't pretend I don't prefer 42 to 30 if it's my mother giving me the money, but here I just want to see the case where experimenter have to pay the most, so I will choose ""ROLL"" all along, and I hope you can choose ""IN"" and help us all."
1,1,0,0,92,"Pick In.  I'll Roll and then you have a 5/6 chance of winning $36, which is an expected $30 payoff, same as me.  It's your best option, game theoretically"
0,0,0,1,93,hello how are you
0,1,0,0,94,"Hey, I feel like IN and ROLL is our best bet for optimizing each of our payments"
1,1,0,0,95,"Hello, I plan on making mutually beneficial decisions. "
1,1,0,0,96,"If you choose IN, I promise to never choose ""don't roll""...that way we will both have a 5/6 chance of making $30 or more ($36 in your case). "
0,1,0,0,97,we both get maximum payout if you pick in and I pick roll
1,0,0,0,98,"Hi! If you want, choose to be IN the first 5 times and OUT the next five and I'll choose roll the first 5 and don't roll the next 5. I think that might be fun. Or do what you want! Potstickers are delicious!"
1,0,0,0,99,"if you choose in, I'll choose roll"
1,1,0,0,100,"Hi! If you were to play it safe, you would go ahead and pick ""OUT."" But hey, it's a Friday afternoon and you have nothing to lose, so we should work together to increase our chances of winning more money. I'll assume you pick IN and will choose to Roll so we can both earn more money!"
0,0,0,1,101,Hello
0,0,0,1,102,Who dares wins
1,0,1,0,103,"I am more than happy with the 30$ payout. I'm not going to a be a jerk and try to take 12$ more, that's silly. It is up to you if you are willing to risk the 5/6 odds for 36$ or just take the 15$ for both. I will be choosing roll for all 10. "
0,1,0,0,104,"Hello! I am not strong on logic/math problems, so I will trust you to make the best decisions for both of us. :) "
0,1,0,0,105,"Here's the best way to make the most for either of us: Choose OUT for the first 8 decisions and we will gamble with the 2,3,4,5,6 for the last 2. You're likely to make a little more but that's alright."
1,0,0,0,106,I will always choose roll 
0,0,0,0,107,"Hi, I believe this is a matter of trust. You have no reason to believe me but all I ask is that you make the decision that works for you and trust me. That said, nice to meet you, sort of. "
1,0,0,0,108,"hi! make sure to choose, ""IN"" and I'll roll too"
0,0,0,1,109,hi this is person B lol
0,0,0,1,110,you choose to be In or Out?
0,0,0,1,111,Hi!
1,1,0,0,112,Hello person A. I just wanted to let you know that I plan to act in a way that is mutually beneficial.
1,0,0,0,113,"I promise to choose roll every time, so choose in."
0,1,0,0,114,"Hello, ok so this game is based on economics game theory. In order for us to work together and ""win"", you would have to choose in and I choose roll. This guarantees you at least the chance to win 36 dollars and me to win 30, whereas if you choose out you can only ever win 15. The odds are that you'd win 36 dollars and I'm perfectly fine with 30 instead of 42, so I think that you should choose in."
1,1,1,0,115,"I will choose ROLL on the basis that, if you have chosen IN, you are risking receiving no payoff in order to maximise our collective potential payoff. I therefore think you deserve a good chance of earning $36."
0,1,1,0,116,"Pick IN -- Let's take a gamble and be generous! The odds are good for 36/30, so let's go for it! "
0,1,1,0,117,"Hey, I think the best move here would be to roll, it's the highest payoff for both of us, and while $42 is enticing if you don't roll, $30 is still a lot of money and it doesn't leave me high and dry with nothing. Thanks!"
0,0,0,1,118,"Hello Person A, this is a very complicated study, I haven't done one like this before. There's so many different choices to make. and so many different elements of risk. I hope you're having a great day and this works out well for the both of us!"
1,1,0,0,119,"Hello - I promise you that I will choose ""Roll"" in all ten trials. I want to maximize the amount of money that both of us will earn from the experiment. :-)"
1,1,1,0,120,"Hi there person A partner,  I totally understand if you don't trust someone on the internet and want to choose OUT. however, I am broke and assume you are too if you're here ;) so I figure i'll go for some good karma and roll on all ten picks.Obviously then we both do better if you choose IN. have a great day!"
1,1,0,0,121,"As a person A you are worried right now that I'll promise to choose Roll, and then when I go home and take the survey I will pick ""Don't Roll"" because no-one will be watching. All I can do is promise that I will choose Roll. I don't appreciate time inconsistant behavior in anyone, especially myself, and I would much rather two people walk away from this happy. "
0,1,0,0,122,You should opt IN and then if I choose to Roll and theres a good chance you will make 36 dollars which is the highest payout you can get. 
0,1,0,0,123,Hello -- shall we try to cooperate and roll?
1,1,0,0,124,"If you choose to roll IN for all 10 rolls, I will promise to roll IN as well for all 10 rolls so that you have a 5/6 chance of making $36 instead of $0 or only $15. If you do not roll IN for all 10 rolls, I will choose DONT ROLL and you will for sure make $0. Thanks :) "
0,0,0,1,125,Hi Hope we will have some fun doing this experiement
1,0,0,0,126,i will always choose roll
1,1,0,0,127,"Hello! I'm trying to mess with the experiment results by showing mutual cooperation (heh) so I'm gonna be choosing ROLL and I think it will be a really interesting case study for the researchers to figure out how 2 strangers can cooperate, so hopefully you choose IN!!! "
1,1,0,0,128,"I would recommend we max our potential earnings, I will be choosing a roll , since we both get paid the most when the die rolls a 2.3.4.5.6. and as for the die rolling 1 the probability is too low. If you wish to make the most out of the experiment i suggest you play IN and I play ROLL. Thanks. "
0,0,0,0,129,"I assume you're not acutally a participant in this room that I am paired with, but please choose IN!"
1,1,0,0,130,"It is in your best interest to choose IN because: your expected value, if you think it's 50/50 whether I roll, is $15 either way (5/6th chance for $36, 1/6th for $0). since my expected value increases no matter what if you choose IN, I would like to reward you by guaranteeing a 100% chance I will ROLL.  That raises your expected value to $30. Thanks for choosing in and getting us both more $$ :)"
1,0,0,0,131,I will choose roll for all ten 
1,1,0,0,132,"Since choosing ""roll"" provides a better chance of both of us getting payment, and since the payment will be above zero, I can tell you that I'm much more likey to choose roll over don't roll. Of course, there's still the possibility of you not getting anything if a 1 appears, but that chance is 1/6 every turn. You'd also be earning more than if you choose out if a 2-6 is rolled. :)"
1,1,0,0,133,"I would really like for both us to maximize our earnings. I would propose that for all 10 decisions, you could choose IN and I could choose ROLL, because there is a very high chance that you'll get $36 and I'll get $30. I know it's hard to trust me, and it seems suspicious especially since I could choose DON'T ROLL, but I would rather get $30 than $15, and I don't mind that you would get more"
1,1,0,0,134,"I am compassionate to a fault (my mom calls it compassion devoid of wisdom), and therefore have absolutely no intention or desire to screw you over in any way. I will choose ROLL no matter what, because the $12 isn't that important in the grand scheme of things, but it is your choice to play your odds as to whether you want to be IN or OUT. Just know that I pinky promise that I will ROLL."
1,0,0,0,135,I will be choosing Don't Roll for all 10 decisions. I recommend that you choose Out for all 10 decisions.
0,1,1,0,136,"Hi! The way I see it, this money was never mine in the first place. The difference between $42 and $30 is not large enough to constitute a decision for me to choose 'Don't Roll,' therefore I highly encourage you to choose IN rather than OUT so that we can both gain. Thanks! "
1,1,0,0,137,"Hi! I will be choosing ROLL for all 10 decisions. This gaurantees me $30, which I am very happy with. I understand this means a 1/6 chance you get $0, but you also have a very high chance of getting $36 instead of $15. I understand if you don't want to take this chance, and am happy with $15 as well. I assure you I will choose ROLL every time, however."
1,1,0,0,138,"Hey, I am going to choose Don't Roll each time and that will garuntee both of us $15."
1,1,0,0,139,The best way to maximize payment would be for you to choose IN every turn and then I will respond with ROLL to try to get the $30-$36 payoff for both of us. We have 5/6 chance of getting the max payoff ($66). 
1,1,1,0,140,Hey person A! FYI I will always choose Roll (definitely rather have the $30 then $15 and don't want to be greedy). But totally understand if you're not willing to take the risk! 
1,1,0,0,141,"Ok, here's how I see it. I want us both to get more than $15 so I want you to feel safe to choose IN every time. I will guarantee choosing roll every time, and make a note of it. Then we both have basically a 5/6 chance of getting $30 or more. I know you would get 6 more but I would rather us both feel safe getting more than 15. Thanks, I hope you agree = )"
1,0,0,0,142,I will choose roll for all decisions. 
0,1,0,0,143,"I think that the best way to ensure that we both earn an appreciable amount of money is through trust. If you choose IN for all 10 times, I can roll ten times. Thus the odds that we both receive $30 or $36 are pretty high. You will have only a 1 and 6 chance of earning zero dollaars. a 5 out of 6 chance that you get $36."
1,1,0,0,144,Hi! Would you like to work together? If you choose IN everytime I will select roll. This will give us the best chance to make the most money. Since we will only get paid for 1 out of 10 times. This will help you earn $36 and myself $30 most likley. Good luck!
0,0,0,1,145,my goal is to earn 50 dollars.good luck to boyh of us!
1,1,0,0,146,"Hey! I'm taking a game theory class right now and the best outcome for both of us is for you to choose IN and I'll choose to roll (5/6 of the time, we both get a great payoff). I promise to roll all 10 times -- hope you're IN :)"
0,1,0,0,147,looking forward to making some money
0,0,0,1,148,working hard or we all go home. There is nothing to it but to do it.
1,0,0,0,149,Good luck!  I love Las Vegas so you can figure out what I am going to choose
0,0,0,1,150,"Pleased to meet you, virtually. Have a great day! :)"
1,0,0,0,151,"I will choose ROLL every time, so you should choose IN"
1,0,0,0,152,I will choose roll. 
0,0,0,1,153,Hi
1,1,0,0,154,"Hello, I understand that if you choose OUT you would be guaranteed a payment, but , I'm hoping that you would be willing to make this gamble with me so that we both receive a higher payout (since at the end of the day, neither of us would be technically losing money). I'm agreeing now to choose ROLL so you have a 5/6 chance of earning more money than if you chose OUT."
1,0,0,0,155,Let's roll!!!!!!!!
1,1,0,0,156,"Hi - this seems to be a classic game theory experiment. If you choose out, then we both are ""at a loss and get only $15"". Alternatively, if you choose IN, then I will be incentivized to choose Roll because that will result in $30 to each of us (5/6*36 and 1/6*30 + 5/6*30). I wouldn't choose Don't Roll because that will incentivize you to choose Out and nobody gains anything from that."
0,0,0,1,157,Hi
1,1,0,0,158,"If you pick IN, I will roll every time. Your risk but also your reward. I will not choose DON'T ROLL."
