paper,strategy,label,raters,n_raters,n_items,krippendorff_alpha,interpretation
managerial_leadership_Jordi_Cooper,fewshot,discuss_fairness,"['claude', 'gpt']",2,927,0.5432,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,fewshot,discuss_efficient,"['claude', 'gpt']",2,927,-0.0776,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,fewshot,discuss_rules,"['claude', 'gpt']",2,927,0.3971,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,fewshot,explanation,"['claude', 'gpt']",2,927,0.1708,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,fewshot,discuss_howtoplay,"['claude', 'gpt']",2,927,0.0907,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,fewshot,ask_game,"['claude', 'gpt']",2,927,0.6782,Tentative (0.67-0.80)
managerial_leadership_Jordi_Cooper,fewshot,receive_report,"['claude', 'gpt']",2,927,0.6396,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,fewshot,truthful,"['claude', 'gpt']",2,927,0.6305,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,fewshot,falsehood,"['claude', 'gpt']",2,927,0.6614,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,fewshot,contradict,"['claude', 'gpt']",2,927,0.4981,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,fewshot,neither_report,"['claude', 'gpt']",2,927,0.6149,Unreliable (<0.67)
trust_promises_Ederer_Schneider,0shot,is_promise,"['claude', 'gpt', 'gemini']",3,156,0.7079,Tentative (0.67-0.80)
trust_promises_Ederer_Schneider,0shot,is_efficiency,"['claude', 'gpt', 'gemini']",3,156,0.8978,Strong (>=0.80)
trust_promises_Ederer_Schneider,0shot,is_ethics,"['claude', 'gpt', 'gemini']",3,156,0.6238,Unreliable (<0.67)
trust_promises_Ederer_Schneider,fewshot,is_promise,"['claude', 'gpt', 'gemini']",3,156,0.6955,Tentative (0.67-0.80)
trust_promises_Ederer_Schneider,fewshot,is_efficiency,"['claude', 'gpt', 'gemini']",3,156,0.7998,Tentative (0.67-0.80)
trust_promises_Ederer_Schneider,fewshot,is_ethics,"['claude', 'gpt', 'gemini']",3,156,0.8262,Strong (>=0.80)
under_reporting_Ling_Kale_Imas,0shot,uninformative,"['claude', 'gpt', 'gemini']",3,95,0.6906,Tentative (0.67-0.80)
under_reporting_Ling_Kale_Imas,0shot,SDB,"['claude', 'gpt', 'gemini']",3,95,0.9441,Strong (>=0.80)
under_reporting_Ling_Kale_Imas,0shot,overest_others,"['claude', 'gpt', 'gemini']",3,95,0.7755,Tentative (0.67-0.80)
under_reporting_Ling_Kale_Imas,0shot,underest_own,"['claude', 'gpt', 'gemini']",3,95,0.5087,Unreliable (<0.67)
under_reporting_Ling_Kale_Imas,0shot,academic_integrity,"['claude', 'gpt', 'gemini']",3,95,0.8393,Strong (>=0.80)
under_reporting_Ling_Kale_Imas,0shot,info_asymmetry,"['claude', 'gpt', 'gemini']",3,95,0.7053,Tentative (0.67-0.80)
under_reporting_Ling_Kale_Imas,0shot,AI_discussion_priming,"['claude', 'gpt', 'gemini']",0,95,,Insufficient raters
under_reporting_Ling_Kale_Imas,0shot,privacy_concerns,"['claude', 'gpt', 'gemini']",3,95,0.5935,Unreliable (<0.67)
under_reporting_Ling_Kale_Imas,0shot,self_esteem,"['claude', 'gpt', 'gemini']",3,95,0.6374,Unreliable (<0.67)
under_reporting_Ling_Kale_Imas,0shot,self_report_bias,"['claude', 'gpt', 'gemini']",3,95,0.1765,Unreliable (<0.67)
under_reporting_Ling_Kale_Imas,0shot,network_effect,"['claude', 'gpt', 'gemini']",3,95,0.4721,Unreliable (<0.67)
under_reporting_Ling_Kale_Imas,0shot,truthful,"['claude', 'gpt', 'gemini']",3,95,0.4682,Unreliable (<0.67)
under_reporting_Ling_Kale_Imas,fewshot,uninformative,"['claude', 'gpt', 'gemini']",3,25,0.7287,Tentative (0.67-0.80)
under_reporting_Ling_Kale_Imas,fewshot,SDB,"['claude', 'gpt', 'gemini']",3,25,1.0,Strong (>=0.80)
under_reporting_Ling_Kale_Imas,fewshot,overest_others,"['claude', 'gpt', 'gemini']",3,25,0.7898,Tentative (0.67-0.80)
under_reporting_Ling_Kale_Imas,fewshot,underest_own,"['claude', 'gpt', 'gemini']",3,25,0.6081,Unreliable (<0.67)
under_reporting_Ling_Kale_Imas,fewshot,academic_integrity,"['claude', 'gpt', 'gemini']",3,25,0.0,Unreliable (<0.67)
under_reporting_Ling_Kale_Imas,fewshot,info_asymmetry,"['claude', 'gpt', 'gemini']",3,25,0.3169,Unreliable (<0.67)
under_reporting_Ling_Kale_Imas,fewshot,AI_discussion_priming,"['claude', 'gpt', 'gemini']",2,25,1.0,Strong (>=0.80)
under_reporting_Ling_Kale_Imas,fewshot,privacy_concerns,"['claude', 'gpt', 'gemini']",2,25,,No variance
under_reporting_Ling_Kale_Imas,fewshot,self_esteem,"['claude', 'gpt', 'gemini']",3,25,0.2227,Unreliable (<0.67)
under_reporting_Ling_Kale_Imas,fewshot,self_report_bias,"['claude', 'gpt', 'gemini']",3,25,-0.0476,Unreliable (<0.67)
under_reporting_Ling_Kale_Imas,fewshot,network_effect,"['claude', 'gpt', 'gemini']",3,25,0.4789,Unreliable (<0.67)
under_reporting_Ling_Kale_Imas,fewshot,truthful,"['claude', 'gpt', 'gemini']",3,25,0.285,Unreliable (<0.67)
