any_suggestion,suggest_safe ,suggest_efficient,agree_proposal,discuss_coordinte,discuss_fairness,discuss_efficient,discuss_rules,explanation,discuss_howtoplay,ask_game,receive_report,truthful,falsehood,contradict,neither_report,original_messages
1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0,0,0,0,1,"un momento xd/que crees que tiene que hacer A?/dime/no se ni si existe xd/c2 f2?/yo pienso igual jajajajaj/no, asi tu ganas mas/tu ganas 3 menos y yo 11 más xd/A otra ronda lo arreglamos al reves/e igual ganamos mas jajaj/no se yo si fiarme../que si que si jajaj/ok/lo que digas/ok?/mismo/va/pero luego quiero mi parte/jajaja/c2f2/si jajaj/a ver, si en esta por ejemplo gano yo mas y en la siguiente tu/salimos ganando los dos/pero es que en la primera has ganado tu mas que yo/me deberia de tocar a mi ganar mas/pues gana mas tu ahora/y yo en la siguiente/que lioteeee/jajajajajaja/totaaaal/jajajaja/esto es muy complicado :(/jajajajajaj/jajajaj a lo mismo?/okey , yo c3/ok/c3/cojo f5/y f3/f5?/si/entonces yo gano mucho menos/es que ahi hay bastante diferencia en mi color/c3 y f3 y ganamos lo mismo/para ganar o perder más/pero si yo elijo una fila/te llevas menos/aunque yo tb/f2c2/Hello otra vez/okey/ultima ronda/sip , un placer/hasta la próxima sr. F/igualmente sr C!/portate bien A/que filas vas a elegir?/y columna/noo/5 5/c 2 f2/si/perfecto/a la larga asi ganamos pero con q la caguemos una ya no/vale ahora lo miramos bien/todo/okey/c3 c3/esa es clave/40-40-80/vale va/ese/c2 c2 o c1 c1 la que quieras/y en la proxima el maximo para c/no el 4 4/es mas equitativo/para C/son solo 3 puntos para mi/10 para C/juego 2/2-2?/2-2?/vale/yo diria que si que es la misma puntuación que la anterior pero al reves la c y la f/sii/el A es el que gana siempre"
1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,0.0,0.0,0,0,0,0,1,"mmmm/f5 c5?/no tio/yo ahi gano mucho menos/c4 f4/esta que son 40 hacemos c3 f3?/pero te juro que me acuerdo de lo tuyo para las siguientes jajaj/gano mas en c4 f4/ok/pero solo 3 mas/yo pierdo 11/sino, me lo tomare por mi cuenta/los que he ganado antes jaja/jajaja va/c3f3 ok?/ok/jajajajajaj/si es que lo mejor es lo mismo/o 54-26 y en la proxima ganas mas tu?/vale/en otros juegos pasa lo mismo con tu color/asi ninguno gana poco no?/ponemos c3 y f3/f3 c3?/si/o c1 y f1/la que todos ganamos más/la 4/decidme/8 puntos tio/antes no me a dado tiempo/jajaja/lo siento/esa/no/f/pero no me rreferia a dejar a uno con 10/vale ahora uno que ganes tu mas/me referia a uno con 20/o x ahi/c3 f3/sisi/es la mejor/perfecto/os habeis dado cuenta/siempre la mejor es c3 c3/c2 f2/gano 11 mas/no hay tanta diferencia/pero tu 3 menos/el que mas putnos suma/el F y C siempre son menos/te vas a forrar jajaja/jajaja si quereis ponemos uno de menos"
1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1,1,0,0,0,"hacemos una cosa/c3 y f3 ahora/cuando toque juego 5 c4 f4/si mas que nada porque el resto no me compresa/y recuperamos lo tuyo/compresa no jajaj compensa/AJAJAJJAA/ok/va pues 3/pero sino toca el 5 me lo pienso sobrar iguale n otro/jajajja/que lo sepas/vale jajaja/cobrar*/es que yo en el uno podia ganar 54, y tu cmo mucho 38/ya/jajajaj/pillamos ahora el c5f5/entonces que? seguimos esta ronda y la siguiente igual y en la ultima ya cada uno lo que quiera?/nooo/vale/cogemos el c5f5 y a la siguiente gano yo mas/okay/mientras que no reste/perfect/c5f5/ok esta vez te toca a ti/f1 c1/por la d antes/gracias/f5/c3 y f3/va/espera/73/c3/f3/perfecto/no/mo/se acaba el tiempo/21/y yo gane 10/ya pero no me ha dado tiemmpo a ver mas/va/se acaba el tiempo/mirad/c2 c2/c4 c4/pero ahora C3 C3/si/a veces si/cual quieres/c2 f2 diria yo/va pues esa/mas igualado/uno/la penultima/pero vosotras ganas menos aun/juego 3/3-3?/3-3?/si/juego 1/3 3/si"
1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0,0,0,0,1,"ui mira, el 5/jajajajajjajajajajjaja/jajaja/c3 f3 entonces/c4 f4 era/jajaja si/c4f4/valee/no me la trames ahora ¬¬/no no jajaja/soy de fiar/me lo creeré jajaja/ya veras/:)/c1f1/c2-f2 esta bien/ostras tu jajaja menuda diferencia/yo prefiero c1f1, que llevas ganando tu dos/bueno vale/y el proximo iguales/si nos toca el juego tres perfecto/ya ves/jajajajaja haz fuerza/jajajaja valee/que hacemos? yo ya me he perdido/jajajaj aqui en realidad nos renta ir iguales porque son 40, tu aqui tu maximop ara llevarte son 46/f3c3?/y ganamos los 2 lo mismo/pero si se trata de ganar lo max/no sabemos en la siguiente ronda que nos va a salir+/vamos compensando cada ronda/ya pero los numeros son los mismos en todas las tablas/solo cambia el orden/buscamos las combinaciones/okey , en la siguiente ronda , gano yo y pierdes más tu entonces/f2 c2?/pierdo 3 ganas 11/c1 y f1/ahi pierdo yo mas de 10/c2/f2/c2/f2/va/c1 f 1/c3 f3/sii eso A/ENCIMA TAMBN ES LA Q UE MAS LE DAN AL a/esa definitiva/al A le dan mucho/que suerte/flipas/jajaja/que me compense ahora/no?/creo q no hay/si/que eficacia jajaja/si jajaja/o mejor 22"
1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,1,1,0,0,0,"aqui si c3f3 es donde mas ganamos/c3 f3?/si/vamooooos/el juego 4 y 5 te pueden beneficiar/y el 1 y 2 a mí/si volvemos a repetir lo de antes xd/jajajaja/lo miraremos../ok jaja/crees que vamos a sacar pasta?/pues en esta ronda contigo/algo mas que con quien me ha tocado en la anterior xd/como a mi../que no nos coordinabamos para nada jajaja/oooh/bueno jajaj son 36, el otro eran 40/bueno, f3c3/por cuatro puntillos/sep/bien bien/sabes que es una miseria no? jajajajaj son 0.02 por punto/jajajajaja/ya/creo que llevamos los mismos puntos/lo has calculado?/nou jajaj me sacas 6 pero da igual/ah si?/si/sii/en la siguiente si tienes no de 50 para ti, ve/cuanto nos llevamos ahora?/cada uno 40 no?/de diferencia digo/en las otras combinaciones solo perdias 6/igual que antes he perdido yo más de 10/32-26 son 6/antes te he dejado ganar a ti , ahora quiero ganar yo/es el doble/no es ganar, es ganas más o menosc/compensar/c1/es la ultima ronda/perdon/porfa/ahora mejor/gracias/jajajaj/va/donde todos ganemos/espera vamos a ver/q me lia esto/hay que calcular/muchas opciones/y ganas tu 38 y yo 10/y estmos igual ya/vale/no hay mejor/pero escucha/vale/no tenemos q hacerlo asi/asi perdemos/ya/hay que buscar de mas/me refiero/vale a ver/me estaoy portando bien/sisii/que miro por todos/vamoss/claro/va/cual/c3 c 3?/c3 f3?/esque no hay ninguna com antes/bien/ganamos lo mismo/se queda c3 f3/espera/vale/vamos a ver/2 2/y luego que tenga yo mas/?/juego 5/5 5?/42464/42464/4-4 es como antes/i es el mismo de antes/okay"
1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0,0,0,0,1,"mmmm/qué dices? jajaj/hacemos como antes/luego gano yo/f2 c2?/y la ultima hacemos tablas/te parece?/vale/f2 c2?/sip/confirmame jajaj/vale/asi me quedo tranquilo xd/confirmado/relax/respira/jajajajajajaja/ups, el primero ha sido el fallo/pero no pasa nah/claro/da igual/es lo mismo, no?/eso parece/seguimos igual?/son 36/vale/o dices de diferencia?/ah/c3 y f3/vale/la que mas nos de/a ver cual/claro/F di tu/c1 f1/esa no me da casi/iguales lo he dejado/ahora si/c1 c2 una opcion/y luego tu/espera vamos a ver/c2 f2 mejor/sisi/esa esta bien/entonces c2 f2/si/si/esta es buena/c2 f2 gano yo mas pero tu 3 puntos menos/los comepnsamos/en la siguiente?/esq es la de antes/porque 5-5 es mucha diferencia, no?/para c solo son 3 puntos/podiamos a la siguiente hacer la fila que a se lleva 80 y f  y C 26 o 54/yo lo dejaria asi/y luegos hacemos la fila esa/okay/y nos llevamos siempre lo maximo/esta 4-4 y a la siguiente la de 54/turnandonos f y c/no?/juego 3/maximo a quien?/hacemos el 3 3?/es el mas equitativo en este"
1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,1,1,0,0,0,"ups/he aquí un dilema jajaj/hacemos lo que digas xd/pfffffffffffffffffffffffffffffffffffffffff/jajjaja/c3f3/va/me parece bien/y a la siguiente mi/mia*/sea lo que sea jajaja/a no ser que salga el 1 otra vez xd/bueno pues si sale uno de neuvo tambien ganare yo/jajajaja/bueno, eso ya lo debatimos xd/mm no/venga va/no da lugar/jajaj/escuchame/podemos ganar más dineor y más rapido/escucho/hay que turnarnos/como?/las proporciones son siempre las mismas/entre 12-15/el de antes/jajajaja/ahora coges tu el de 50/esta a medias igual/Okey/f4/c4/o c3 y f2 y ganamos lo mismo?/c3 y f3 y ganamos lo mismo/para ti son 3 menos y para mi 11 mas/y ganamos más los 2/vamosa verlo rapido/vavava/va/a ver si vemos una q nos de a ti o a mi f mucho/o sino c3 f3, pero me da igual ganar menos esta vez/pero qno se quede uno con 10/c3 f3, los dos ganamos 36/c2 f2/y luego tu mas/un poco as/o da igual/es que antes ya he ganado menos yo/yaya/jo/cual/o sino/c3 f3/ya/no prefieres q te compense la ultima?/son 3 puntos/soo/vale/si/el tres no hayla opcion esa/es que hay otros con mas diferencia/este el 3 3 esta bien/si, 3-3/pues ese entonces/juego 1"
1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0,0,0,0,1,"mierda xd/qué hacemos?/c4f4/pero yo pierdo 11 :(/yo gano los 3 que he operdido antes y tu pierdes los 11 que has ganadi/ei, como yo antes../va jajaja/ni pa tu ni pa mi/jajajajjaja/pero no me engañes xd/no te he engañado en 9 rondas../te voy a engañar ahora?/bueno, no te compensa otra opción xd/jajaj/por eso/Pues un placer :)/si yo gano en una 50 y tu 24, en la siguiente ganas tu 50 y yo 24/y asi ganas más dinero y más rapido/entiendes?/y nos ponemos iguales/vale/y luego pasara o mismo en otros cn tu color/yo iria compensando por ronda/f3/c1/ahora me toca a mi ganar más/que ahi yo pierdo 14/a ver/vavavav/que nos quedamos sin tiempo/c2 f2 no esta mal/f3/pero a ver si hay mejor/c4/si c2 f2/lo veo bien/c3 f3/mas/vamos a buscar que ganemos lo mismo y ya/era mejor c2 f2 ganbas 80 tu tmabn A/si va/porque estan los puntos igualados/ya/pero uno se quedaba con menos/va/yaa pero antes he tenido 10/estaba hablado/c3 f3??/yo tambien he tenido en uno 10/es verdad pero son 3 menos/a ver/c4 c4 va/gaanas tu mas ahora/c3 f 3/me da igual/por 3 puntos/solo/cual/c3 f3/por mi c2 c2 pero elije tu f va/yo pondria la que ganamos lo mismo y au/va pues esa/si?/vale/cual/pues c3 f3 para el A/vale/c3 f3?/ganamos lo mismo/o que/que es la ultima/me dejas c2 f2? que tenog una ronda con 8 puntos y otra con 10/lo q veas/ganas 3 menos/solo/3-3 esta igualado/no 1 1"
1.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0,0,0,0,1,que hacemos 3-3?/o maximo a f?/5 5/porfa/y el 4-4?/es que si no he perdido puntos con la de antes../pues  la 5-5/gracias :)/que con lo del c de antes es casi lo mismo/y se acabo/si/hola/hola/hola/Qué juego hacemos?/hay que buscar uno/donde mas o menos ganemos todos igual
1.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0,0,0,0,1,"si F quieres que en los que son extremistas ganemos lo mismo, pues el c3 f3/quiero/el que ganamos lo mismo/lo hacemos así o queréis jugarosla a cada uno el que sea?/vale/asi bien/que hay que hacer ahi abajo?/que pone nose que de ingresos/ir mirando y me vais diciendo/abajo es para calcular/vale/tanto c como yo/entonc4es en este?/pues coge juego 1 f3 y c3/bueno grupo/ultima ronda/sii/buen trabajo chicxs, me gusta el compañerismo/que quereis que elija?/y a mi jaja/a mi si salimos todos bien parados tb jajaja/algo equitativo/pues decirme/o pongo 4 4/pues entonces c3 f3 del juego 2?/lo que veais/F, bien?/buenas/seguís con los mismos roles?/ya te vale/porque te estás portando muy bien la verdad/y coger en esta el mío de 47 y el suyo de 33/nop, voy a por vuestros maximos/que en la anterior ha sido al revés/ves a por nuestros maximos/siii"
1.0,0.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.0,0,0,0,0,1,"nah, jajaj no soy tan cabron/la verdad es que te estas portando bien/juego 2 f2 y c2, bien?/decirme cual pillar en esta y cada vez que uno palme un poco/vale/por mi vale/creo que vas a sacar tu máximo en la mayoría/he palmado yo/por eso/por coincide con uno nuestro/q lo sepais/en la anterior yo/me ha dado a mi 33/suele coincidir con el max de uno de vosotors"
1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1,1,0,0,0,"y a ti F 47/sin calculadora nuse lo maximo que se puede ganar en la prueba de hoy/no se por qué pero en esta creo que va a ser el juego 1 la f3 y c3/pero han habido algunas que la peña se ha llevado 40€ o mas/pues espera que te digo lo otuyo si fueras todo 80/un amigo ayer 40/sooo/ojala 40 pavetes/una amiga de una amiga XD/juego 3 f3 c3?/por lo que he visto es:/si/ese/j1 f1 c1/j2 f2 c2/j3 f3 c3/j4 f4 c4/j5 f4 c4/coinciden sí/en este pon el del juego 3 f3 y c3/si/son los maximos de todos mas o menos/de acuerdo/lo malo es que en unos hay mucha diferencia y en otros menos/pero vamos apañándonos/hace mucho tiempo se llevo 150 pavos/en serio?/si quieres ganar más tú coge el c5 f5 del juego 5/la segunda parte será igual pero con diferentes roles no?/por 8 puntos os perdono/vale, alguien sabe seguro/si las siguientes 9 rondas/sii/habra más experimetno/si luego seguimos juntos, y va de lo mimsmo/lo hacemos a maximos/hacemos 1-1 y cuando toque juego 5  5-5 ??/y a la siguiente vamos a por mi maximo/eso/vale/1-1 en esta ronda entonces?/si/y cuando salga juego 5 hacemos 5-5/si/por/lo máximo tuyo creo que son 15 o por ahi/vaya telajajajajajaja/me lo juro mucho/ceba yo quiero eso/y lo nuestro c/?"
1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0,0,0,0,1,lo que me lleve va para gasolina asi que.. jjajaja/tal cual me lo den se me irá/si/vale/y si no sale pues en la ultima el maximo de F/ahora vemos/vale perfecto/eso/cmo digasis/j3 f3 y c3/dale ese q te hemos dicho/okey/dime cuanto nos estaremos llevando C
1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,1,1,0,0,0,"?/nuestro máximo depende porque el suyo es 80 en todas/bueno, pos ahora si que si es la despedida/juego 1/3 3'/?/el maximo de f es el 5-5 no?/creo que va/en el 1 y 2 gano yo/jajaja/ula ultima sugerencia?/A VER  2 3 3/pues f3 c3 del j2/SI VEIS UNA MEJOR DECIR/o si F quiere perder 3 puintos/veo una mejor/o lo hacemos equitativo?/pero para ganar 38 prefiero los 32 equitativo/hacemos esta equitativa y la ultima el maximo a f?/y al siguiente si sale mas ese/f de diferencia son 6 puntos, esperamos a la siguiente a ver si puede tener mas/si/mejor/vale pues 3-3/juego 2/en el 4 y 5 gana F/y en el 3 ganamos lo mismo/yo veo un pooc exagenrado el c1 f1 del juego 1/juego 1 c3 f3/pues vosotros direis que cojo en este/pero si queréis hacerlo a máximos/ganamos lo mismo yo y c/así/lo que querais/si f palma 3/XD/yo gano 11/jajajjae/YO VEO MEJOR/sa he pensado también/2/3/hay sacrificio? :(/3/VAAA ENROLLAROS/3/f2 c2 j2?/jajajajjaja/vamos otto rico/C3 F3/que son 3 puntos/a jugarte el tipo/si haces este"
